ID,技名,"攻撃
属性","防御
属性",全体ダメ,部位ダメ,攻撃力低下,クリ,流血,ギブ,反則
1647,ブレーンクロー,Brain Claw,絞め,腕力,絞め,ラフ,3@,3@,,,,,,,○,○,,必殺,,○,
1648,胴絞めフロントネックロック,Scissors Front Necklock,絞め,絞め,絞め,絞め,1@,3@,2@,3@,,,,,○,,○,関節,,○,
1649,元祖トライアングルランサー,Original Triangle Lancer,絞め,絞め,絞め,絞め,3@,1@,2@,4@,,,,,○,,○,必殺,,○,
1650,バナナスプレッド,Banana Spread,絞め,テク,絞め,テク,3@,2@,,1@,,2@,1@,,○,○,○,必殺,,○,
1651,後方回転飛びつき腕ひしぎ逆十字固め,Back Rolling Cross Armbreaker,関節,テク,関節,テク,4@,3@,,,4@,,,,○,,○,関節,,○,
1652,足掛け前転裏膝十字固め,Leg Hook Cross Kneebreaker,関節,テク,関節,テク,1@,2@,,,,,4@,,○,,○,関節,,○,
1653,カナディアンカッター,Canadian Cutter,瞬発,馬力,叩き,叩き,24,7,,9,,,,,○,○,○,必殺,,,
1654,フェイススラム,Face Slam,腕力,馬力,叩き,叩き,28,7,,2,,,,,○,○,,パワ,,,
1655,振り子式カッター,Twist Cutter,瞬発,馬力,叩き,叩き,25,9,1,8,,,,,○,,○,必殺,,,
1656,コンプリートショット,Complete Shot,瞬発,馬力,叩き,叩き,26,8,,6,,,,,○,○,,必殺,,,
1657,カナディアンフェイスバスター,Canadian Face Buster,馬力,腕力,叩き,叩き,26,7,,6,,,4,,○,,○,必殺,,,
1658,横落としネックブリーカードロップ,Side Drop Neckbreaker Drop,馬力,瞬発,叩き,叩き,29,7,,10,,,,,○,○,○,必殺,,,
1659,トルネードスラム,Tornado Slam,腕力,馬力,叩き,叩き,30,8,,8,,8,,,○,○,,必殺,,,
1660,大旋回式ＤＤＴ,Large Rolling DDT,馬力,腕力,叩き,叩き,30,9,1,6,,,,,○,○,○,必殺,,,
1661,アルティメットホールド,Ultimate Hold,瞬発,投げ,投げ,関節,30,8,,15,12,,,,○,○,○,必殺,,,
1662,元祖ファイナルパワーボム,Original Final Powerbomb,腕力,馬力,叩き,叩き,32,10,,8,,4,,,○,,○,パワ,,,
1663,リバースゴリースペシャルボム,Reverse Gory Special Bomb,投げ,投げ,叩き,投げ,32,6,,8,,4,,,○,,○,必殺,,,
1664,アームスラム,Arm Slam,瞬発,投げ,叩き,叩き,29,7,,8,,3,,,○,○,,必殺,,,
1868,シャイニング延髄斬り,Shining Enzuigiri,瞬発,蹴り,ラフ,蹴り,24,10,,8,,,,,,○,○,必殺,,,
1869,シャイニング踵落とし,Shining Axe Kick,瞬発,蹴り,ラフ,蹴り,23,7,,10,,,,,,○,○,必殺,,,
1870,掌底ラッシュ,Shoutei Rush,蹴り,突き,蹴り,突き,18,3,,4,,,,,○,,○,,,,
1871,グラウンドヘッドロック,Ground Headlock,絞め,絞め,絞め,絞め,2@,3@,,4@,,,,,○,,○,関節,,○,
1872,スタンディング肩固め,Stand Shoulder Hold,絞め,絞め,絞め,絞め,1@,1@,2@,2@,1@,,,,○,,○,関節,,○,
1873,ローリング肩固め,Rolling Shoulder Hold,絞め,絞め,絞め,絞め,2@,2@,2@,3@,,,,,○,○,○,関節,,○,
1874,スタンディング式腕ひしぎ逆十字固め,Standing Cross Armbreaker,関節,テク,関節,テク,1@,2@,,,4@,,,,○,,○,関節,,○,
1875,コウモリ吊り固め,Bat-Hanging Lock,絞め,テク,絞め,テク,2@,2@,2@,4@,,,,,○,,○,必殺,,○,
1876,車輪クラッチ,Wheel Clutch,テク,テク,テク,テク,,14,4,,,,,,○,,○,テク,,,
1877,元祖ブレーンバスター,Original Brainbuster,馬力,瞬発,叩き,叩き,29,7,,15,,,,,○,○,○,必殺,,,
1878,足取り垂直落下式ブレーンバスター,Leg Hold Vertical Brainbuster,投げ,瞬発,叩き,叩き,27,7,,12,,,,○,○,,○,必殺,,,
1879,変型垂直落下式ブレーンバスター,Modified Vertical Brainbuster,投げ,瞬発,投げ,投げ,28,6,,12,,,,○,○,,○,必殺,,,
1880,クロスアームノーザンライトボム,Cross Arm Northern Light Bomb,瞬発,馬力,叩き,叩き,27,8,,13,,,,○,○,,○,必殺,,,
1881,スターネスダストα,Sternness Dust,馬力,腕力,叩き,叩き,28,7,,15,,,,○,○,,○,必殺,,,
1882,変型エメラルド・フロウジョン,Modified Emerald Flowsion,馬力,瞬発,叩き,叩き,30,8,,15,,,,○,○,,○,必殺,,,
1883,バーニングハンマー,Burning Hammer,馬力,瞬発,叩き,叩き,33,8,,12,,,,,○,○,○,必殺,,,
1884,アイアンクロースラム,Iron Claw Slam,腕力,馬力,叩き,叩き,28,7,,8,,,,,○,,○,パワ,,,
1885,ヘラクレスカッター,Hercules Cutter,馬力,瞬発,叩き,叩き,30,8,,8,,,,,○,○,,必殺,,,
1886,ＦＦＦ,FFF,馬力,瞬発,叩き,叩き,27,8,1,4,,,,,○,○,○,必殺,,,
1887,旋回式スクラップバスター,Spinning Scrap Buster,馬力,瞬発,叩き,叩き,30,6,,10,,2,,,○,○,○,必殺,,,
1888,旋回式アームスラム,Spinning Arm Slam,馬力,投げ,叩き,叩き,30,6,,6,,6,,,○,○,○,必殺,,,
1889,顔面砕きファルコンアロー,Falcon Arrow Crush,馬力,腕力,叩き,叩き,26,8,1,2,,,,,○,○,,必殺,,,
1890,ハリケーンスラム,Hurricane Slam,投げ,瞬発,投げ,叩き,26,8,,8,,6,,,,○,○,必殺,,,
1891,ムーンサルトネックブリーカードロップ,Moonsault Neckbreaker Drop,瞬発,馬力,叩き,叩き,24,8,,12,,,,,○,,○,必殺,,,
1892,ゴリークラッシャー,Gori Crusher,馬力,瞬発,叩き,叩き,26,8,,8,,2,2,,○,○,○,必殺,,,
1893,ボディバスター,Body Buster,馬力,瞬発,叩き,叩き,26,8,5,2,,10,,,○,,○,必殺,,,
1894,トリプルフィッシャーマン,Triple Fisherman,瞬発,投げ,叩き,叩き,28,7,,14,,,,,○,○,○,必殺,,,
1895,タイツパイルドライバー,Tights Piledriver,エン,馬力,エン,叩き,26,15,,10,,,,,○,○,○,必殺,,,
1896,侍ドライバー’８４,Samurai Driver '84,馬力,瞬発,叩き,叩き,28,6,,7,,3,,,○,,○,必殺,,,
1897,フィッシャーマンドライバー,Fisherman Driver,馬力,瞬発,叩き,叩き,28,5,,10,,2,,,○,,○,必殺,,,
1898,アックスギロチンドライバー,Ax Guillotine Driver,馬力,瞬発,叩き,叩き,32,6,,12,,,,,○,,○,必殺,,,
1899,スーパーラナ,Super Rana,瞬発,馬力,叩き,叩き,24,8,4,4,,,,,○,○,○,必殺,,,
1900,ムーンサルトエルボードロップ,Moonsault Elbow Drop,瞬発,馬力,叩き,叩き,26,9,2,,,8,,,○,,○,必殺,,,
1901,ｇｏ ２ ｓｌｅｅｐ,Go 2 Sleep,蹴り,馬力,叩き,叩き,30,5,,12,,,,,○,○,○,必殺,,,
1902,電光石火,Lightning Speed,瞬発,テク,テク,テク,18,10,4,2,,,,○,,○,○,テク,,,
1903,ブレーンバスター喉輪落とし,Brainbuster Choke Slam,腕力,馬力,叩き,叩き,30,9,,10,,,,,○,,○,パワ,,,
1904,変型ノーザンライトボム,Modified Northern Light Bomb,馬力,瞬発,叩き,叩き,30,6,,14,,,,○,○,,○,必殺,,,
1905,バインディングスープレックス,Binding Suplex,投げ,瞬発,投げ,投げ,25,6,2,2,2,4,,○,○,○,,必殺,,,
1906,ショットガン,Shotgun,馬力,瞬発,叩き,叩き,30,7,,10,,,,,○,○,,必殺,,,
1907,カナディアンデストロイヤー,Canadian Destroyer,瞬発,馬力,叩き,叩き,28,9,,16,,,,,○,,○,必殺,,,
1908,チェアーズ・イリュージョン,Chair's Illusion,エン,テク,エン,テク,,5@,3@,,,,,,,,,必殺,,○,
1909,アピールボディバスター,Appeal Body Buster,馬力,瞬発,叩き,叩き,26,8,5,2,,10,,,○,,○,必殺,,,
1910,無双,Musou,馬力,投げ,叩き,叩き,32,6,,9,,4,,,○,○,○,必殺,,,
1911,変型サイドバスター,Modified Side Buster,馬力,瞬発,叩き,叩き,30,7,,7,,6,,,○,○,,必殺,,,
1912,旋回式スタナー,Side Roll Stunner,馬力,瞬発,叩き,叩き,29,10,,12,,,,,○,○,,必殺,,,
1913,元祖水車落とし,Original Waterwheel Drop,馬力,瞬発,叩き,叩き,30,2,5,,,10,,,○,○,○,パワ,,,
2067,急所クロー,Testicular Claw,エン,ラフ,エン,ラフ,3@,4@,1@,,,,,,○,,,必殺,,○,
2068,ブレーンバスターラリアット,Brainbuster Lariat,腕力,馬力,叩き,ラリ,28,7,1,8,,,,,○,,○,必殺,,,
2069,フリーフォールオーバーヘッドキック,Bicycle Kick,蹴り,馬力,叩き,叩き,29,6,,12,,,,,○,○,○,必殺,,,
2070,巨大鉄サック攻撃,Giant Steel Knuckles,ラフ,突き,ラフ,ラフ,20,12,,8,,,,,○,○,○,必殺,,,
2071,フットスタナー,Foot Stunner,瞬発,蹴り,叩き,叩き,27,8,,12,,,,,○,○,○,必殺,,,
2072,ダブルニーチンクラッシャー,Double Knee Chin Crusher,瞬発,ラフ,ラフ,ラフ,25,10,,6,,,,,○,,○,必殺,,,
2073,昇天・改,Shoten-Kai,馬力,瞬発,叩き,叩き,29,7,,10,,2,,,○,○,○,必殺,,,
2074,スクリューネックブリーカードロップ,Screw Neckbreaker Drop,瞬発,馬力,叩き,叩き,28,8,,9,,,,,○,○,○,必殺,,,
2075,みちのくドライバーⅡＢ,Michinoku driver II B,瞬発,馬力,叩き,叩き,28,5,,12,,2,,,○,,○,必殺,,,
2076,牛殺し,Ushigoroshi,ラフ,馬力,ラフ,叩き,18,8,,17,,,,,○,○,○,必殺,,,
2077,ツイスト式コンプリートショット,Twisting Complete Shot,瞬発,馬力,叩き,叩き,26,8,,8,,,,○,○,○,,必殺,,,
2078,フェニックスプレックスホールド,Phoenixplex Hold,投げ,馬力,投げ,叩き,28,9,2,13,,2,,○,○,○,○,必殺,,,
2079,バックフリップドライバー,Backflip Driver,馬力,瞬発,叩き,叩き,29,8,,9,,,,,○,○,○,必殺,,,
2080,ファルコンアロー,Falcon Arrow,馬力,瞬発,叩き,叩き,28,5,,4,,4,,,○,,○,,,,
2081,ファルコンアローＢ,Falcon Arrow B,馬力,瞬発,叩き,叩き,28,5,,4,,4,,,○,,○,,,,
2082,垂直落下式ファルコンアロー,Vertical Falcon Arrow,馬力,瞬発,叩き,叩き,29,8,,12,,,,,○,,○,必殺,,,
2083,ファイヤーマンズキャリーバスター,Fireman Carry Buster,馬力,瞬発,叩き,叩き,25,7,,2,,6,,,○,○,○,必殺,,,
2084,ダブルニーストマッククラッシャー,Double Knee Stomach Crusher,瞬発,馬力,叩き,叩き,24,6,4,,,4,,,○,○,○,必殺,,,
2085,ゴリーボム,Gori Bomb,馬力,瞬発,叩き,叩き,27,9,1,2,,,,,○,○,○,必殺,,,
2086,垂直落下式ＤＤＴ,Vertical Drop DDT,馬力,瞬発,叩き,叩き,25,7,,14,,,,,○,,○,必殺,,,
2087,デスティーノ,Destino,瞬発,馬力,叩き,叩き,25,8,,13,,,,,○,,○,必殺,,,
2088,串刺しダブルアームＤＤＴ,Vertical Double Arm DDT,瞬発,馬力,叩き,叩き,24,9,,13,,,,,○,,○,必殺,,,
2089,ポールシフト・フロウジョン,Pole Shift Flowsion,馬力,瞬発,叩き,叩き,30,8,,13,,,,○,○,,○,必殺,,,
2090,クラッチ式フェイスバスター,Clutch Face Buster,馬力,馬力,叩き,叩き,24,8,1,2,,,,,○,○,○,必殺,,,
2091,パッケージパイルドライバー,Package Piledriver,馬力,瞬発,叩き,叩き,30,8,,14,,,,,○,,○,必殺,,,
2092,ペンデュラムボム,Pendulum Bomb,馬力,腕力,叩き,叩き,28,8,,10,,5,,,○,○,,パワ,,,
2093,ファイナルパワーボム,Final Power Bomb,腕力,馬力,叩き,叩き,33,9,,10,,2,,,○,,○,パワ,,,
2094,ファイナルボム,Final Bomb,腕力,瞬発,叩き,叩き,33,10,,12,,2,,,○,,○,必殺,,,
2095,ＴＩＭＥ ＢＯＭＢ,Time bomb,馬力,瞬発,叩き,叩き,29,9,,9,,,,,○,○,○,必殺,,,
2096,バイオニックエルボー,Bionic Elbow,突き,エン,突き,エン,20,9,,2,,,,,○,○,,必殺,,,
2097,ブラスナックルパンチ,Brass Knuckles Punch,ラフ,突き,ラフ,突き,27,8,,4,,,,,○,○,,必殺,2%,,○
2098,スクリューネックブリーカードロップＢ,Screw Neckbreaker Drop B,瞬発,馬力,叩き,叩き,28,8,,9,,,,,○,○,○,必殺,,,
2099,エメラルド・フロウジョン,Emerald Flowsion,馬力,瞬発,叩き,叩き,29,6,,10,,6,,,○,○,○,必殺,,,
2236,リフトアップパワースラム,Press Powerslam,馬力,腕力,叩き,叩き,30,6,2,,,12,,,○,○,○,必殺,,,
2237,タイツ引きパイルドライバー,Tights pulling Piledriver,馬力,瞬発,叩き,叩き,26,8,,10,,,,,○,○,○,必殺,,,
2238,コンプリートショットＢ,Complete Shot B,瞬発,馬力,叩き,叩き,26,8,,6,,,,,○,○,,必殺,,,
2239,ダブルアームフェイスバスターＢ,Double Arm Face Buster B,瞬発,馬力,叩き,叩き,27,8,1,6,,,,,,○,○,必殺,,,
2240,リバースゴリースペシャルドライバー,Reverse Gory Special Driver,馬力,瞬発,叩き,叩き,30,7,,9,,4,,,○,,○,必殺,,,
2241,ハイジャックバックブリーカー,Hijack Backbreaker,馬力,腕力,絞め,絞め,2@,3@,2@,1@,,4@,,,○,○,○,必殺,,○,
2242,アームロック,Armlock,関節,関節,関節,関節,1@,1@,,,4@,,,,○,,,関節,,○,
2243,肩担ぎベアハッグ,Shoulder Bear Hug,腕力,絞め,絞め,絞め,2@,1@,1@,,,4@,,,○,○,,必殺,,○,
2244,ロデオストレッチ,Rodeo Stretch,絞め,テク,絞め,テク,2@,3@,2@,,4@,2@,,,○,○,○,必殺,,○,
2245,叩きつけダブルアームスープレックス,Striking Double Arm Suplex,投げ,瞬発,投げ,投げ,30,6,,8,,4,,,○,○,○,投げ,,,
2246,タイチ式外道クラッチ,Taichi Style Gedo Clutch,テク,ラフ,テク,ラフ,4,16,4,4,,,,,○,,○,テク,,,
2247,ナックルアロー連打,Knuckle Arrow Rush,ラフ,突き,ラフ,突き,26,4,,5,,,,,○,○,,,1%,,
2248,ナックルアロー連打Ｂ,Knuckle Arrow Rush B,ラフ,突き,ラフ,突き,19,2,,3,,,,,○,○,,,1%,,
2249,大車輪大外刈り,Big Swing Oosotogari,瞬発,投げ,叩き,叩き,24,10,4,12,,,,,○,○,○,必殺,,,
6000,魂の殴り合い,Spirit Punch Rush,突き,ラフ,突き,ラフ,30,8,,8,,,,,○,○,,打撃,1%,,
6072,棚橋張り手連打,Tanahashi Slap Rush,突き,突き,突き,突き,25,10,,6,,,,,○,○,,,,,
6073,飯伏ラッシュ,Ibushi Rush,蹴り,突き,蹴り,突き,20,3,1,1,,,2,,○,,○,,,,
6074,ヘビーレイン,Heavy rain,馬力,瞬発,叩き,叩き,28,7,,8,,,,,○,○,○,必殺,,,
6075,リバースネックブリーカードロップ,Reverse Neckbreaker Drop,馬力,瞬発,叩き,叩き,18,8,,17,,,,,○,○,○,必殺,,,
6076,鈴木式パイルドライバー,Suzuki-style Pile Driver,馬力,瞬発,叩き,叩き,27,6,,12,,,,,○,,○,必殺,,,
6077,旋回式ジャンピングツームストンパイルドライバー,Spinning Jumping Tombstone,馬力,瞬発,叩き,叩き,29,9,,15,,,,,○,,○,必殺,,,
6078,ダブルアームジャンピングパイルドライバー,Double Arm Jumping Pile Driver,馬力,瞬発,叩き,叩き,31,10,,12,,,,,○,,○,必殺,,,
6079,ダークネスフォールズ,Darkness Falls,馬力,腕力,叩き,叩き,30,6,,12,,2,,,○,,○,必殺,,,
6080,スモールパッケージボム,Small Package Bomb,馬力,瞬発,叩き,叩き,28,10,1,6,,2,,,○,○,○,必殺,,,
6081,タイチ式ファイナルパワーボム,Taichi-style Final Power Bomb,腕力,馬力,叩き,叩き,34,10,,10,,2,,,○,○,○,必殺,,,
6082,ギターラ・デ・アンヘル,Guitarra de Angel,馬力,瞬発,叩き,叩き,32,9,,8,,6,,,○,○,,必殺,,,
6083,グラネード,Grenade,腕力,突き,叩き,叩き,26,8,1,7,,,,,○,,○,必殺,,,
6084,ホイールバロードライバー,Wheelbarrow Driver,馬力,瞬発,叩き,叩き,30,8,1,15,,,,,○,,○,パワ,,,
6085,トリプルブレーンバスター,Triple Brainbuster,投げ,瞬発,投げ,投げ,28,7,,,,14,,,○,○,○,必殺,,,
6086,指折り,Finger Snap,ラフ,エン,ラフ,エン,15,20,,,6,,,,○,,,必殺,,,
6087,Ｄ,D,絞め,総合,絞め,総合,2@,2@,3@,2@,,,,,,○,○,必殺,,○,
6088,ストームブレイカー,Storm Breaker,瞬発,馬力,叩き,叩き,28,12,,14,,,,,○,,○,必殺,,,
6089,ライトニングスパイラル,Lightning Spiral,瞬発,馬力,叩き,叩き,27,8,,10,,,,,○,○,○,必殺,,,
6090,後転バックフリップ,Samoan Pop,瞬発,馬力,叩き,叩き,26,6,,,,8,,,,○,○,必殺,,,
6091,ブラッディー・クロス,Bloody Cross,馬力,瞬発,叩き,叩き,27,8,2,,,2,,,○,○,○,必殺,,,
6092,サイファーウタキ,Cipher UTAKI,馬力,瞬発,叩き,叩き,25,5,4,,,4,,,○,○,○,必殺,,,
6093,ファイナルパワーボム式ダブルニーバックブリーカー,Final Double Knee Back Breaker,馬力,瞬発,叩き,叩き,25,7,,,,10,,,○,,○,必殺,,,
6094,リフト式ＤＤＴ,Lifting DDT,馬力,瞬発,叩き,叩き,28,7,,12,,,,,○,○,,必殺,,,
6095,Ｄの悪夢,"Nightmare of ""D""",馬力,瞬発,叩き,叩き,32,8,,12,,,,,○,○,,必殺,,,
6096,レッグクラッチドライバー,Leg Clutch Driver,馬力,瞬発,叩き,叩き,30,9,,11,,2,,,○,○,,必殺,,,
6206,ショックアロー,Shock Arrow,馬力,瞬発,叩き,叩き,31,10,,14,,,,,○,,○,必殺,,,
6207,デュードバスター,Dudebuster,馬力,瞬発,叩き,叩き,30,8,2,10,,,,,○,○,,必殺,,,
6208,デスヌカドーラ,Desnucadora,馬力,瞬発,叩き,叩き,33,9,,6,,6,,,○,,○,必殺,,,
6209,ラスト・オブ・ザ・ドラゴン,Last of the Dragon,馬力,瞬発,叩き,叩き,32,11,,9,,,,,○,○,,必殺,,,
6210,東京ピンプス,Tokyo Pimps,馬力,瞬発,叩き,叩き,27,8,,4,,,4,,○,○,○,必殺,,,
6211,ブラジリアンキック,Brazilian Kick,蹴り,テク,蹴り,テク,26,6,,8,,,,,○,○,○,打撃,,,
6212,ライトニングスパイラルホールド,Lightning Spiral Hold,瞬発,馬力,叩き,叩き,27,8,,10,,,,,○,○,○,必殺,,,
6213,ハイドレンジア,Hydrangea,絞め,絞め,絞め,絞め,3@,1@,1@,1@,2@,,2@,○,○,,○,必殺,,○,
6214,刀羅式打撃コンビネーション,Tora Strike Combo,突き,突き,突き,突き,27,6,,8,,,,,○,○,,,,,
6215,トライアングルランサー,Triangle Lancer,絞め,絞め,絞め,絞め,2@,1@,2@,5@,,,,,○,,○,必殺,,○,
